DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200104875,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1955,1,Central,171,2,888,TRESPASSING,2004 1501,0,X,X,733,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,888,,,,1000 S  FIGUEROA                     ST,,34.0457,-118.2665
200816285,11/11/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1700,8,West LA,897,1,310,BURGLARY,1822 0344 0397 1602 0352 1402 1267,31,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,998.0,,,3300 S  BEVERLY                      DR,,34.031,-118.3989
200304982,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1825,3,Southwest,321,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0104 0325 1402,19,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,343,,,,3500 S  LA CIENEGA                   BL,,34.0242,-118.3722
200504796,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1800,5,Harbor,528,1,210,ROBBERY,0344 1309 0302 0449 0337 0377,38,M,H,101,STREET,107.0,OTHER FIREARM,IC,Invest Cont,210,,,,1300 E  OPP                          ST,,33.7875,-118.2479
200316294,08/25/2020 12:00:00 AM,08/25/2020 12:00:00 AM,700,3,Southwest,356,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,27,M,H,101,STREET,,,IC,Invest Cont,331,,,,1600 W  36TH                         ST,,34.0228,-118.3069
201420059,11/10/2020 12:00:00 AM,11/10/2020 12:00:00 AM,300,14,Pacific,1464,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,48,M,W,101,STREET,,,IC,Invest Cont,331,,,,6000    SEABLUFF                     DR,,33.9724,-118.4221
200918724,12/22/2020 12:00:00 AM,12/20/2020 12:00:00 AM,115,9,Van Nuys,969,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1309 0342 0344,52,M,W,402,MARKET,,,AO,Adult Other,341,,,,12900    MAGNOLIA                     BL,,34.1649,-118.414
200605054,01/24/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1300,6,Hollywood,646,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,35,M,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,6500 W  SUNSET                       BL,,34.0987,-118.3337
200804615,01/13/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1800,8,West LA,847,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,2300    OVERLAND                     AV,,34.0442,-118.4266
200914024,08/26/2020 12:00:00 AM,08/25/2020 12:00:00 AM,2300,9,Van Nuys,926,1,330,BURGLARY FROM VEHICLE,0605,21,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,14100    GILMORE                      ST,,34.1876,-118.4422
211907683,04/15/2021 12:00:00 AM,09/13/2020 12:00:00 AM,2330,19,Mission,1982,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0913 0510 0537 0514 1817 1258 0515,12,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,815.0,,,8800    MEMORY PARK                  AV,,34.23,-118.4644
211006342,03/18/2021 12:00:00 AM,11/19/2020 12:00:00 AM,1,10,West Valley,1008,2,354,THEFT OF IDENTITY,0930 1822,63,M,W,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,354,,,,7100    HAYVENHURST                  AV,,34.1993,-118.4924
200916086,10/18/2020 12:00:00 AM,10/17/2020 12:00:00 AM,1900,9,Van Nuys,943,1,510,VEHICLE - STOLEN,,0,M,,101,STREET,,,IC,Invest Cont,510,,,,BURBANK                      BL,TYRONE                       AV,34.1721,-118.4443
201014712,11/04/2020 12:00:00 AM,11/03/2020 12:00:00 AM,2300,10,West Valley,1039,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,6400    WHITMAN                      AV,,34.1866,-118.4765
200218736,12/18/2020 12:00:00 AM,12/14/2020 12:00:00 AM,2000,2,Rampart,236,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,100 S  BONNIE BRAE                  ST,,34.0651,-118.2682
200816614,11/18/2020 12:00:00 AM,11/18/2020 12:00:00 AM,1610,8,West LA,882,2,625,OTHER ASSAULT,0356 0400 0416 1822,26,F,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,2000    SAWTELLE                     BL,,34.0396,-118.4425
200511205,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,130,5,Harbor,524,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0302 0334 0408 0429 0432 0444 0913 1309 1814 2000,41,F,H,101,STREET,102.0,HAND GUN,AO,Adult Other,236,,,,C                            ST,MAR VISTA                    AV,33.7719,-118.2775
201905719,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,600,19,Mission,1961,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AA,Adult Arrest,510,,,,9400    SEPULVEDA                    BL,,34.2427,-118.4702
200909840,05/18/2020 12:00:00 AM,05/16/2020 12:00:00 AM,1700,9,Van Nuys,937,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13800    CALVERT                      ST,,34.1822,-118.4334
200815031,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,100,8,West LA,847,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10300    TENNESSEE                    AV,,34.0469,-118.4217
200515806,10/26/2020 12:00:00 AM,10/17/2020 12:00:00 AM,2355,5,Harbor,523,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,0,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,400    FIGUEROA                     ST,,33.7613,-118.2819
200605677,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,2300,6,Hollywood,647,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000 0416 1814 0913,48,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,6000    CARLTON                      WY,,34.1005,-118.3205
200306551,02/11/2020 12:00:00 AM,02/11/2020 12:00:00 AM,1504,3,Southwest,358,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0202,19,X,X,414,BOOK STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442,,,,3500    TROUSDALE                    PY,,34.0215,-118.2868
200915340,10/01/2020 12:00:00 AM,09/25/2020 12:00:00 AM,100,9,Van Nuys,919,1,330,BURGLARY FROM VEHICLE,1607 1302 0344,21,M,H,101,STREET,,,IC,Invest Cont,330,,,,7100    WOODMAN                      AV,,34.1994,-118.4313
200618403,11/23/2020 12:00:00 AM,11/23/2020 12:00:00 AM,830,6,Hollywood,638,1,310,BURGLARY,1822 0344,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,6000    FRANKLIN                     AV,,34.1052,-118.3194
200707680,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,1000,7,Wilshire,732,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,210,RESTAURANT/FAST FOOD,,,AO,Adult Other,740,,,,6300    WILSHIRE                     BL,,34.0665,-118.3662
220814156,09/06/2022 12:00:00 AM,09/02/2020 12:00:00 AM,1400,8,West LA,807,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1202,58,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,10000    CIELO                        DR,,34.0947,-118.4297
200107479,02/20/2020 12:00:00 AM,02/19/2020 12:00:00 AM,1510,1,Central,163,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,946,,,,700 S  SPRING                       ST,,34.0438,-118.2547
200614890,08/03/2020 12:00:00 AM,08/03/2020 12:00:00 AM,1,6,Hollywood,636,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1810 0443,54,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,930,,,,1700    WILCOX                       AV,,34.1016,-118.331
200306838,02/17/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1200,3,Southwest,312,1,310,BURGLARY,0216 0321 0342 0344 1202 1309 1601 1606 1822,89,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,2800 S  ORANGE                       DR,,34.0293,-118.3545
200704131,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,535,7,Wilshire,787,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1257 0500 1501,17,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237,,,,4800 W  VENICE                       BL,,34.0375,-118.335
200816616,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,100,8,West LA,898,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,2600 S  ROBERTSON                    BL,,34.0375,-118.3886
200313902,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,900,3,Southwest,337,1,210,ROBBERY,2000 1814 0913 0448 0344 0329 0352 0354 0336,28,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,3000    HALLDALE                     AV,,34.026,-118.3028
200806994,02/28/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1800,8,West LA,898,1,480,BIKE - STOLEN,1822 0344,41,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,3100 S  CANFIELD                     AV,,34.0332,-118.3939
200810326,06/06/2020 12:00:00 AM,06/05/2020 12:00:00 AM,1900,8,West LA,842,1,330,BURGLARY FROM VEHICLE,0344 1822 0352 0323 0321,48,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,11500    ROCHESTER                    AV,,34.0484,-118.4544
200907449,03/14/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1315,9,Van Nuys,974,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1420,0,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,14600    VENTURA                      BL,,34.1547,-118.453
200108599,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,615,1,Central,152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2028 0344,24,F,B,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,500 W  6TH                          ST,,34.0481,-118.2542
200812325,07/26/2020 12:00:00 AM,07/26/2020 12:00:00 AM,1300,8,West LA,892,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 1606 0344 1822,84,F,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,11500 W  PICO                         BL,,34.0321,-118.4399
200514758,10/01/2020 12:00:00 AM,10/01/2020 12:00:00 AM,2130,5,Harbor,532,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,34,M,H,101,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,745,,,,1000    GULF                         AV,,33.7823,-118.2731
200617328,10/29/2020 12:00:00 AM,10/28/2020 12:00:00 AM,2115,6,Hollywood,639,1,210,ROBBERY,0400 0344 0352 1822 1402 0907 0946,0,X,X,405,CLOTHING STORE,205.0,KITCHEN KNIFE,AA,Adult Arrest,210,998.0,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
200815713,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,1530,8,West LA,833,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1420 0344 1218 2032,25,F,B,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440,,,,10800    WILSHIRE                     BL,,34.0595,-118.4414
